avg_ep_avg_reward,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/batch_size,config/eps_decay,config/eps_end,config/eps_start,config/gamma,config/learning_rate,config/num_layers,config/num_neurons,config/replay_mem,config/tau,logdir
-36.745515856002406,241.611114025116,False,,,1,3ce57b04,b78f43d4269b4604bea3848787797e6e,2023-04-27_19-44-17,1682624657,241.611114025116,1025159,b320ae3261b3,172.17.0.8,241.611114025116,0,1,0.0184738636016845,512,210,0.03052598730040547,0.8146472918236407,0.8790769425552906,0.0011235948264584072,6,16,256,0.008140079426556703,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_3ce57b04_906_batch_size=512,eps_decay=210,eps_end=0.0305,eps_start=0.8146,gamma=0.8791,learning_rate=0.0011,num_layers=6_2023-04-27_19-40-15"
-47.81168115119669,238.85759854316711,False,,,1,eb88ddf0,b88d94056e3848a8b2999fe1bdbddb10,2023-04-27_19-44-15,1682624655,238.85759854316711,1013764,b320ae3261b3,172.17.0.8,238.85759854316711,0,1,0.016674518585205,512,220,0.03188572024370167,0.8060467563188183,0.8604118589459968,0.002006507306051013,5,48,256,0.008500945252197826,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_eb88ddf0_907_batch_size=512,eps_decay=220,eps_end=0.0319,eps_start=0.8060,gamma=0.8604,learning_rate=0.0020,num_layers=5_2023-04-27_19-40-16"
-0.7866910534509306,240.7059166431427,False,,,1,f1949739,e5b80987267f4dfe83cce33f7df42c1d,2023-04-27_19-44-17,1682624657,240.7059166431427,1030745,b320ae3261b3,172.17.0.8,240.7059166431427,0,1,0.0194220542907714,512,180,0.03849116236509183,0.8838207180252629,0.8592530559885334,0.0008926649199871232,5,48,256,0.007126179313705889,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_f1949739_908_batch_size=512,eps_decay=180,eps_end=0.0385,eps_start=0.8838,gamma=0.8593,learning_rate=0.0009,num_layers=5_2023-04-27_19-40-16"
-0.712701413806463,234.68385004997253,False,,,1,9f984f34,2846c6fe49f3416eae5ac7774483bff0,2023-04-27_19-44-12,1682624652,234.68385004997253,969533,b320ae3261b3,172.17.0.8,234.68385004997253,0,1,0.0114166736602783,512,190,0.035245227833986634,0.8838207180252629,0.9183733473076954,0.0012515149567432536,7,48,256,0.007110850595913391,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_9f984f34_909_batch_size=512,eps_decay=190,eps_end=0.0352,eps_start=0.8838,gamma=0.9184,learning_rate=0.0013,num_layers=7_2023-04-27_19-40-17"
-0.797174234975559,237.2820703983307,False,,,1,e23cfdce,38fdf7256721427e92350bf1f9df3a2e,2023-04-27_19-44-15,1682624655,237.2820703983307,943168,b320ae3261b3,172.17.0.8,237.2820703983307,0,1,0.011688232421875,512,180,0.03746588936838123,0.8410844569453056,0.8790769425552906,0.0007783633715082486,7,16,256,0.007071675809511837,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_e23cfdce_910_batch_size=512,eps_decay=180,eps_end=0.0375,eps_start=0.8411,gamma=0.8791,learning_rate=0.0008,num_layers=7_2023-04-27_19-40-18"
-47.55307300016472,237.04932975769043,False,,,1,77cf4d1e,fc2129380e864d709db62910fdba99fb,2023-04-27_19-44-16,1682624656,237.04932975769043,943446,b320ae3261b3,172.17.0.8,237.04932975769043,0,1,0.0105354785919189,512,200,0.030777410780635166,0.865038542612568,0.8929567240064259,0.0028878192449912263,6,32,256,0.008138663719625632,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_77cf4d1e_911_batch_size=512,eps_decay=200,eps_end=0.0308,eps_start=0.8650,gamma=0.8930,learning_rate=0.0029,num_layers=6_2023-04-27_19-40-19"
-47.78041630983287,242.21670293807983,False,,,1,2778c1e1,2fcad55c0a3b4498bc57e5e637b6ab3e,2023-04-27_19-44-22,1682624662,242.21670293807983,943177,b320ae3261b3,172.17.0.8,242.21670293807983,0,1,0.0101161003112792,512,210,0.03188572024370167,0.8060467563188183,0.9377789003789295,0.003287382698773753,7,64,256,0.008058696505906127,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_2778c1e1_912_batch_size=512,eps_decay=210,eps_end=0.0319,eps_start=0.8060,gamma=0.9378,learning_rate=0.0033,num_layers=7_2023-04-27_19-40-19"
-0.6877157100247885,232.56722235679624,False,,,1,398f0aaf,22903cd134b646e3a17c1404d6d7bc11,2023-04-27_19-44-14,1682624654,232.56722235679624,942753,b320ae3261b3,172.17.0.8,232.56722235679624,0,1,0.0122625827789306,512,210,0.03735175507057297,0.8546036513448951,0.9071107863123193,0.003030449290836772,7,48,256,0.007553352769180862,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_398f0aaf_913_batch_size=512,eps_decay=210,eps_end=0.0374,eps_start=0.8546,gamma=0.9071,learning_rate=0.0030,num_layers=7_2023-04-27_19-40-21"
-32.23589670560563,233.4713718891144,False,,,1,f7f9ec64,95e8b030454f457088ddf45e5d2f491a,2023-04-27_19-44-17,1682624657,233.4713718891144,1026728,b320ae3261b3,172.17.0.8,233.4713718891144,0,1,0.018014907836914,512,220,0.043906427855169274,0.8146472918236407,0.9292382227864691,0.0013897122875793642,5,16,256,0.0072595206552255095,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_f7f9ec64_914_batch_size=512,eps_decay=220,eps_end=0.0439,eps_start=0.8146,gamma=0.9292,learning_rate=0.0014,num_layers=5_2023-04-27_19-40-23"
-39.64673854772332,234.87220454216003,False,,,1,c06fd1fa,1572b7ff3f2a494681f6e7ca039bbba5,2023-04-27_19-44-20,1682624660,234.87220454216003,984096,b320ae3261b3,172.17.0.8,234.87220454216003,0,1,0.0125536918640136,512,180,0.03188572024370167,0.865038542612568,0.8906869701820508,0.0009581852793725811,8,48,256,0.008138663719625632,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_c06fd1fa_915_batch_size=512,eps_decay=180,eps_end=0.0319,eps_start=0.8650,gamma=0.8907,learning_rate=0.0010,num_layers=8_2023-04-27_19-40-25"
-12.419705191325242,237.78437089920044,False,,,1,c9d49351,cc0833deef5e46e5b7cd6c3b9d7c5dea,2023-04-27_19-44-25,1682624665,237.78437089920044,943231,b320ae3261b3,172.17.0.8,237.78437089920044,0,1,0.0116982460021972,512,210,0.030777410780635166,0.8410844569453056,0.8604118589459968,0.0007783633715082486,7,48,256,0.007071675809511837,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_c9d49351_916_batch_size=512,eps_decay=210,eps_end=0.0308,eps_start=0.8411,gamma=0.8604,learning_rate=0.0008,num_layers=7_2023-04-27_19-40-27"
-12.422815461582724,296.3642363548279,False,,,1,03fc2f31,e5631a5adb224492b0ef521edf84246c,2023-04-27_19-45-28,1682624728,296.3642363548279,943163,b320ae3261b3,172.17.0.8,296.3642363548279,0,1,0.0125873088836669,256,210,0.04322828570054103,0.8763106938136542,0.9183733473076954,0.0027564839249619704,8,32,256,0.008151215369884416,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_03fc2f31_917_batch_size=256,eps_decay=210,eps_end=0.0432,eps_start=0.8763,gamma=0.9184,learning_rate=0.0028,num_layers=8_2023-04-27_19-40-31"
-27.87992806551857,230.368097782135,False,,,1,17baa317,329b0221a36946b880aef4c9cbb73935,2023-04-27_19-44-23,1682624663,230.368097782135,1022925,b320ae3261b3,172.17.0.8,230.368097782135,0,1,0.0188562870025634,512,180,0.03737904094380183,0.8823960550225013,0.9398038338983783,0.0020102756118620404,5,48,256,0.008500945252197826,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_17baa317_918_batch_size=512,eps_decay=180,eps_end=0.0374,eps_start=0.8824,gamma=0.9398,learning_rate=0.0020,num_layers=5_2023-04-27_19-40-32"
-47.72205343481014,225.50474429130557,False,,,1,2a9cdc20,c929fd1f201942cca0139bb14f46fdef,2023-04-27_19-44-19,1682624659,225.50474429130557,943175,b320ae3261b3,172.17.0.8,225.50474429130557,0,1,0.0095348358154296,512,180,0.0396915314448338,0.8936761518514889,0.916809884010659,0.0011285501934538925,5,32,256,0.0077166952837367485,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_2a9cdc20_919_batch_size=512,eps_decay=180,eps_end=0.0397,eps_start=0.8937,gamma=0.9168,learning_rate=0.0011,num_layers=5_2023-04-27_19-40-33"
-48.22778223867497,230.2278723716736,False,,,1,439a0c5a,2a3662d09d134fdb9278d7c2463ab92d,2023-04-27_19-44-24,1682624664,230.2278723716736,1025086,b320ae3261b3,172.17.0.8,230.2278723716736,0,1,0.0169219970703125,512,210,0.03188572024370167,0.8060467563188183,0.8790769425552906,0.002747277379008968,8,64,256,0.008094184606500823,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_439a0c5a_920_batch_size=512,eps_decay=210,eps_end=0.0319,eps_start=0.8060,gamma=0.8791,learning_rate=0.0027,num_layers=8_2023-04-27_19-40-34"
